tags,discription,price,title,Title,img,url
"PCB Presets 1,Resistors",,Rs.9.00,10k (Local),10k (Local),http://scionelectronics.com/wp-content/uploads/2016/11/PCB-Preset-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/10k-2/
"Resistors,Variable Resistors (POT) – Stereo",,Rs.20.00,10k (Local),10k (Local),http://scionelectronics.com/wp-content/uploads/2015/08/Variable-ResistorsPOT-Mono-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/10k-3/
"1/2W, 5%,Resistors",,Rs.0.75,10k,10k,http://scionelectronics.com/wp-content/uploads/2017/01/0.5W-5-Resistor-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/10k-4/
"Resistors,Varistor",,Rs.11.00,10D681K Metal Oxide Varistor,10D681K Metal Oxide Varistor,http://scionelectronics.com/wp-content/uploads/2017/01/7D220K-Metal-Oxide-Varistor-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/10d681k-metal-oxide-varistor/
"Resistors,Varistor",,Rs.9.00,10D561K Metal Oxide Varistor,10D561K Metal Oxide Varistor,http://scionelectronics.com/wp-content/uploads/2017/01/7D220K-Metal-Oxide-Varistor-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/10d561k-metal-oxide-varistor/
"Resistors,Varistor",,Rs.9.00,10D431K Metal Oxide Varistor,10D431K Metal Oxide Varistor,http://scionelectronics.com/wp-content/uploads/2017/01/7D220K-Metal-Oxide-Varistor-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/10d431k-metal-oxide-varistor/
"Resistors,Varistor",,Rs.7.00,10D471K Metal Oxide Varistor,10D471K Metal Oxide Varistor,http://scionelectronics.com/wp-content/uploads/2017/01/7D220K-Metal-Oxide-Varistor-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/10d471k-metal-oxide-varistor/
"Fuses,Glass",,Rs.3.50,10A  DIP,10A  DIP,http://scionelectronics.com/wp-content/uploads/2016/12/Fuse-Glass-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/10a-dip/
"Enclosures & Project Boxes,Project Boxes",,Rs.950.00,108x152x52mm ABS Electronics Plastic Enclosure for Project Instrument Box,108x152x52mm ABS Electronics Plastic Enclosure for Project Instrument Box,http://scionelectronics.com/wp-content/uploads/2016/06/108x152x52mm-ABS-Electronics-Plastic-Enclosure-for-Project-Instrument-Box-Scion-Electronics-Sri-Lanka-1.jpg,http://scionelectronics.com/product/108x152x52mm-abs-electronics-plastic-enclosure-for-project-instrument-box/
"50V,Capacitors,Mylar Dipped",,Rs.2.50,104 – 0.1uF 50V,104 – 0.1uF 50V,http://scionelectronics.com/wp-content/uploads/2016/12/Mylar-Dipped-Capacitors-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/104-0-1uf-50v/
